sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	standard-price-point	ProductTaxCode
DS-TPXY-RUJ8	B01AMSMDY0	12.95	250														
E6-DT22-Y9PV	B01A1DL4DW	14.99	250														
EA-4S33-HLZ4	B00X09QTP8	15.99	250														
EA-XELP-HNMS	B00ZJ2H5PM	14.95	250														
EL-O3EG-4TSP	B01EGTY358	24.95	250														
EL-ZM2T-4S8Z	B01CTFTIU6	14.99	250	14.99	fixed	50	12.99										
EY-TUK1-R0NI	B07JNHQBBK	10.99	250														
F6-4XTA-EDSY	B01ASC6XRS	28.95	150														
FV-SAZA-7N7A	B01AMSMDWW	32.95	150														
FY-LZRE-R4VO	B015YB8IEY	25.95	115														
GG-GDL4-GQJC	B00MXD78R0	59.95	1														
GJ-Z9SH-ZRIN	B00BSGVXO2	47.95	4														A_HLTH_COSMETIC
GLUCMN-500G-1	B01EGTY358	23.95															
GN-BWA9-KKYK	B01CV1FFS2	17.99	250														
H1-4MO4-R0PC	B01CUYHCX6	17.98	250														
HC-JB3E-DWN7	B01F5QSI2K	27.95	150														
HF-PSPV-XC5G	B018GPDCV4	19.99	250														
I1-5RQ4-73WN	B01CO7I0HG	38.95	59														
I8-Q3LQ-A4MW	B0155M4WME	34.99	250														
IB-LAO9-TVRU	B01ASB9HCC	11.99	48														
IX-O0MK-3I1J	B019EJ3RQQ	49.95	137														
JB-QS1V-A18R	B01CUWIURK	12.99	250														
JL-ASI0-W8IA	B00MXD79JM	16.99	2														
JT-6VR5-053M	B01F7N739A	89.95	57	89.95	percent	12	12.50										
K7-DXKD-67TT	B00ZJ2H5MU	27.95	150														
K7-QMPT-65LZ	B00WAJU464	24.99	250														
KA-OSYX-Q2TQ	B01B3RWQNM	11.95	250														
KA-OSYY-Q2TQ	B01B3RWPGU	29.95	150														
KETO4IN1-1000G	B01N9MHHYG	86.95	38														
KETO4IN1-1500G	B01N1X7JW2	129.95	25														
KETO4IN1-500G-1	B01MU5HNRZ	44.95	250														
KS-PSCW-G3QU	B01AAVGK5C	29.95	40														
KV-7JI9-ZPEL	B01A1CWDDI	34.95	150														
L-CIT250BASE	B07D6TVK63	20.95	250														
L-CIT600BASE1	B01M2DB8V3	27.99	20														
L3-OUWR-2XIP	B01A9DX400	38.95	150														
LA-T4GB-5LGJ	B00MY9BZF4	44.95	11														
LA-T4GC-5LGJ	B00MY9BZE0	29.95	17														
LCIT-600GBASE	B01M2DB8V3	27.95															
LD-3ING-PTWZ	B01CV1FFSM	13.99	250	12.99	fixed	15	11.15	48	10.90								
LGLUT-1KG-A	B01EVOOBIW	26.97															
LO-ED07-CD33	B00ZVNCXOM	27.97	250														
LR-73P2-VZKM	B010RBSLWA	40.95	150														
LV-RUQP-FIIY	B00WA9HQ9W	30.95	113														
LV-RUQQ-FIIY	B00WA9HQ42	43.95	75														
M9-3VBG-M8ON	B01A68H25Q	58.99	37														
M9-M5RV-M4O3	B015TK6KTU	49.95	69														
MACA-PWD500	B06XCJ6T7Y	19.99	250														
MN-G2AV-SSFS	B01E9MTWFS	59.95	141														
N8-25A7-4FPA	B07K385GM2	10.99	250														
NC-2LGLUT500-BR	B01M63C0OT	37.95	7														
NC-2LGLUT500-FP	B01M23UCDQ	36.95	24														
NC-4N1-LL-500G	B072N3LNSD	44.95															
NC-5HTP-50G-1	B01NCFNABC	15.95	250														
NC-5HTP-50G-2	B01MXT8XMR	29.95	84														
NC-5HTP-50G-3	B01MSU52RT	42.95	56														
NC-5HTP100-240C	B01A1DL4DW	14.95															
NC-5HTP200-120C	B07737HBN6	16.95															
NC-5HTP200-60C	B0773815NL	11.95															
NC-ACAI120CAP	B07XQQBHKN	12.95															
NC-ACETYLLCAR250	B010R3ZMT8	21.95															
NC-ACTVCHARC-1LB	B07T6Y51SR	15.95															
NC-ACTYLCAR500G	B01AAVEJVE	32.95															
NC-ACV-01	B01A698E20	13.79	250	13.79	percent	12	5.00	24	10.00	48	15.00						
NC-ACV-02	B01A698E52	24.95	150														
NC-ACV-03	B01A698E4I	35.99	150	35.95	percent	12	5.00	24	10.00	48	12.00						
NC-ACV120V	B01A698E20	13.49		12.95	percent	12	5.00	24	10.00	48	14.00						
NC-AGM120C	B07993859K	11.95															
NC-AGM250G	B013CUE57S	29.95															
NC-AGMTN100G	B00MY9BZHC	14.95															
NC-ALA120C	B08D6Z8TPW	14.95															
NC-ALCAR180C	B076TT43SR	14.97															
NC-ALLULOSE1LB	B07VLPB3NY	15.95															
NC-ALLULOSE8OZ	B07VNTTRQX	10.00															
NC-ALOE100MG-120C	B086BRX9LM	13.95															
NC-ALPHAGPC120C	B076XNXLR2	24.95															
NC-ALPHAGPC60C	B076XDRNWH	14.95															
NC-ARGAKG300G	B00X09QTP8	15.95															
NC-ASHWG120C	B073DN2YG9	14.95															
NC-ASTAX-60SFG	B01K3JEJ68	16.95															
NC-ASTRAG240C	B082BKBBTR	14.95															
NC-ASTRAGPWD1	B084WQVDGD	17.95															
NC-ASTX-60SFG	B01K3JEJ68	17.99	250														
NC-ASTX120S	B078Z16G8W	29.95		29.95	percent	10	10.50										
NC-ASTX30SFG	B078YZHR2X	11.95															
NC-AcetylLcar100G	B00T5A1SD4	13.95															
NC-B-CMPLX-240	B077JC1GCN	18.95															
NC-B3CAP-MIDE1	B01M9GIV8S	12.99	250	12.99	fixed	10	11.50	48	10.85	94	10.45						
NC-B3CAP-MIDE2	B01M7V6XM2	24.99	150														
NC-B3CAP-MIDE3	B01M7V6PJA	35.99	150														
NC-BAIKAL120C	B07W6RZDR2	10.00															
NC-BBBroth+Col-CHOC	B087KJ1XMZ	24.95															
NC-BCAA-30GRNAPPL	B07KFNXQVC	16.95															
NC-BCAA-30GRP	B07JWMWDHF	16.95															
NC-BCAA-30PINEAPPL	B07JHC8MXW	16.95															
NC-BCAA-30WM	B07JHC3JW7	16.95															
NC-BCAA-500C	B01E9MTWGM	21.95															
NC-BCAA-60GRP	B07JMDQWZ1	27.95															
NC-BCAA-60PNAPPL	B07JMFMD9R	27.95															
NC-BCAA-60STRKIWI	B07KCLFH4X	27.95															
NC-BCAA-60UF	B07LH783ZD	19.95															
NC-BCAA-WM60	B017MW6LQA	24.95															
NC-BCAA-WMN-30GA	B07JR559D6	17.95															
NC-BCAA-WMN-30GRP	B07JR3Y6LR	17.95															
NC-BCAA-WMN-30PM	B07JY6J3J5	17.95															
NC-BCAA-WMN-30SL	B07JQ1WW91	17.95															
NC-BCAA-WMN-30WM	B07JQHLK87	17.95															
NC-BCAA150SRV	B01M1O9U9S	34.97															
NC-BCAA30-RASPLMN	B07DV935J8	16.95															
NC-BCAA30-UF	B07F9195QK	13.95															
NC-BCAA500G-UF	B017MW6LRE	21.95															
NC-BCAA60-RASPLMN	B07DTZ8VBP	27.95															
NC-BCAA60SRV-GA	B017MW6LQK	24.95															
NC-BCAA90-GRP	B07JQ2ZLXS	39.95															
NC-BCAA90-PNAPPL	B07JPHPGNW	39.95															
NC-BCAA90-RASPLMN	B07F8YTD5H	39.95															
NC-BCAA90-STRKIWI	B07JPHMYGZ	39.95															
NC-BEEFBB20SRV	B07YN4QFVY	24.95															
NC-BEEFBNBRTH	B086MG6DV6	24.95	250														A_FOOD_GEN
NC-BEEFBONE-20VEG	B086MDX9C4	24.95															
NC-BERBHCL60C	B079GH6V2Z	19.95															
NC-BETAAL120CAP	B07JHV6SWJ	12.95															
NC-BETAALAN240C	B07XZL1ZQS	19.95															
NC-BETAGLUC100G	B07YCT9CZB	18.95															
NC-BETAGLUC60C	B07YBNMLFX	16.95															
NC-BETALA300G	B00MWE8WAM	13.95															
NC-BETALA500G	B07BTGCJTW	21.95															
NC-BETHCLPEP240	B077NS1KDK	12.95															
NC-BETN-HCL500G	B01BCL4HU4	15.95															
NC-BHB20-ORNGMANG	B07LC3VMJZ	44.95															
NC-BHB4-1-UF1LB	B01MU5HNRZ	44.95															
NC-BILLB250G	B07L6QRYRM	14.95															
NC-BILLB90CAP	B07L6Q9RVY	10.00															
NC-BIOTIN10kMCG-SFG	B07VPD46DY	18.99															
NC-BIOTIN240C	B01AMJCHB8	13.49															
NC-BIOTIN5kMCG-SFG	B07VP9LGGQ	13.99															
NC-BITTRMLN-01	B01JKGVS8C	15.99	250														
NC-BITTRMLN-02	B01JKGVSB4	29.95	150														
NC-BITTRMLN-03	B01JKGVS78	42.99	150														
NC-BITTRMLN-180	B01JKGVS8C	15.95															
NC-BLKCOHOSH240C	B08YS2TL15	17.95															
NC-BLUEBRRY180C	B0914RRNKZ	14.95															
NC-BORON5MG240C	B07X27P7V4	15.95															
NC-BROM-100G	B07QTPNJF6	19.95															
NC-BROM500MG120C	B07TK4ZTLP	15.95															
NC-BRWRYST-1LB	B07S95VHM3	14.95															
NC-BTN-ANH120C	B01G2KGUE6	10.00															
NC-BTNANHC-1M	B01G2KGUE6	10.00	247														
NC-BTNANHC-2M	B01G2KGUDW	19.95	21														
NC-BTNANHC-3M	B01G2KGUCS	27.95	14														
NC-BTTRBUR-120C	B07JNG3TR2	10.00															
NC-BURCOCK120C	B08XN5KRG7	11.95															
NC-BYEAST-1LB	B07S95VHM3	14.95	250														
NC-BetAnhy500G	B01BCQ3RLE	15.95															
NC-C8MCT1LB	B071P7W9LX	25.95															A_FOOD_GEN
NC-C8MCT1LB-VAN	B07VM41JPV	25.95															
NC-C8MCT2LB	B072C3MZVB	41.95															A_FOOD_GEN
NC-C8MCT8OZ-1	B0772V1WXY	16.95															A_FOOD_GEN
NC-CA-ASCOR500G	B07BHSWL1L	24.95															
NC-CA-ASCORB-250G	B07BHSHV44	13.95															
NC-CACARBONT500G	B07D5KQRCV	13.95															
NC-CAFF200-500C	B01DFQSVK6	17.95		17.95	percent	10	7.00										
NC-CASEIN-2CH	B07SH1JDT7	29.95															
NC-CASEIN-2VAN	B07SH22XS3	29.95															
NC-CASEIN-5CH	B07SFKZMT1	54.95															
NC-CASEIN-5VAN	B07SH19M1S	54.95															
NC-CATCLAW120C	B082BGQR6X	12.95															
NC-CCNMLK1LB	B0727NSB56	18.95															A_FOOD_GEN
